"","HGNC_Symbol","p1Pve","p1Nve","p2Pve","p2Nve","p3Pve","p3Nve","control1","control2"
"5436","TRIAP1P1",45.766712,4.9999995,42.838696,9.953253,73.690506,14.832009,92.0444,4.9999995
"5437","APTX",2117.672,252.26045,4606.056,1566.0205,5945.311,1243.5079,1509.8877,104.99051
"5438","LINC00158",43.56786,4.9999995,52.15799,10.32904,84.29795,14.217048,51.9653,4.9999995
"5439","PDLIM5",61.239937,11.061939,136.6898,136.05557,330.27612,63.166122,92.34492,14.356029
"5440","RPSAP48",56.62056,4.9999995,58.147923,31.731052,91.04123,17.86002,106.5785,10.151111
"5441","NUDT7",291.0841,12.325589,297.4897,239.99782,493.2635,83.94254,209.97546,4.9999995
"5442","LRRN2-AS1",301.4054,24.934378,1195.612,153.74281,727.93634,114.469696,1572.4165,34.515884
"5443","LINC02166",84.25636,8.329291,115.0633,31.533203,173.7588,21.884254,100.619705,4.9999995
"5444","TRAV3",203.43466,29.122307,229.66924,110.828995,256.14117,79.153145,314.1567,25.991945
"5445","RPL15P20",139.09244,10.379089,81.37212,22.975094,152.90459,16.620129,200.00977,4.9999995
"5446","RN7SKP125",60.2859,4.9999995,49.567165,22.185104,33.64951,12.774061,80.874535,6.6821456
"5447","LINC00652",50.965874,7.823177,70.5005,33.98271,56.80283,24.830942,89.96774,8.500831
"5448","TMPRSS3",1148.9,104.9142,1258.7451,450.3522,1416.6901,323.99796,2150.2444,138.84831
"5449","LINC00402",87.20838,8.846147,81.40373,51.717316,99.109924,29.115206,135.1295,11.22118
"5450","MAP4K3-DT",47.033936,6.912875,38.04878,20.811914,71.48789,16.101341,126.03297,7.714295
"5451","HNRNPKP4",9428.067,365.3192,23952.248,12491.208,31847.738,5664.1313,8911.981,94.53862
"5452","HYDINP1",51.655796,4.9999995,58.751373,26.74955,95.459984,21.706667,91.67285,12.1692095
"5453","PIRAT1",66.48933,6.5114703,67.43315,40.3259,61.550365,27.442478,98.78149,15.610782
"5454","SLC48A1",2835.7954,130.87457,3259.4268,601.3414,4130.2476,478.32452,2756.5845,121.494606
"5455","DIRC3",39.228985,6.0220165,31.160564,14.6675,83.99799,17.34571,17.049828,4.9999995
"5456","UNC93A",65.229965,6.1855955,78.60927,40.515354,844.6936,35.631947,51.351906,13.505251
"5457","WASF3",69919.29,1857.1385,67583.8,19047.27,91688.016,12417.304,105057.98,6891.283
"5458","MTND2P4",56.778557,4.9999995,39.76519,15.122611,80.01541,19.65055,50.06717,13.29151
"5459","RPS12P28",366.99997,5.660769,114.24952,66.05624,445.98956,50.660046,1016.8627,23.844213
"5460","CYP46A1",37.62638,4.9999995,38.372593,42.909763,382.88736,29.98575,24.629076,4.9999995
"5461","TPT1P7",718.8509,16.66329,498.03656,225.61981,795.13684,117.10689,1381.7433,13.47029
"5462","RPL12P24",4057.858,198.08434,2962.784,1002.37445,4080.6658,614.4664,6298.7114,357.87564
"5463","ESPNP",208.7359,28.802195,184.23581,97.33698,299.8022,73.59706,251.64514,21.110634
"5464","CD209",99.92826,11.259749,91.01728,35.10712,128.41927,30.76723,165.0171,12.99847
"5465","ANAPC15P2",28.88397,4.9999995,32.102154,21.16259,100.62609,15.169288,27.837566,4.9999995
"5466","CIBAR1-DT",235.39053,9.645168,92.62211,56.19039,206.79303,43.29021,127.04307,11.51204
"5467","LNCARSR",195.70863,23.254911,203.29271,108.71726,303.89413,68.43403,299.75403,28.752232
"5468","ZNF594-DT",183.9924,18.621561,161.88342,99.25577,180.6425,78.92378,218.13374,14.65445
"5469","CNOT7P1",220.53087,70.93863,471.28967,400.54318,457.07422,261.5258,316.6775,78.483826
"5470","GLRX3P2",2915.2795,95.92542,4350.845,1346.9995,5505.736,640.95087,3214.7031,24.621141
"5471","ALG1L6P",266.15515,16.739069,345.26187,127.83566,384.17755,61.524048,92.49723,4.9999995
"5472","EEF1A1P1",167923.52,11471.212,121132.836,83536.48,275171.78,50894.44,234461.12,13738.478
"5473","PRMT5P1",778.48865,29.17467,1009.1172,326.64023,1218.3181,191.77388,238.81651,7.82327
"5474","CCDC196",118.75196,4.9999995,68.64629,38.839115,127.992134,19.515121,155.53033,4.9999995
"5475","CCDC86P1",77.21788,4.9999995,169.96095,52.777664,533.35077,47.631874,69.89076,4.9999995
"5476","LINC01015",210.11848,26.381681,305.06113,136.66609,977.8755,108.6573,463.29498,67.25343
"5477","LINC03011",4726.315,55.506973,4661.4697,727.5178,4038.0273,342.0617,4155.816,44.50923
"5478","RPS26P5",60.777588,9.236134,59.99763,30.922241,67.27247,26.139626,67.48974,4.9999995
"5479","PES1-AS1",1280.5483,667.6666,2709.6943,1016.11816,3006.2834,991.0016,3121.6235,434.51172
"5480","FBXO32",2123.6692,35.113503,3584.6658,401.89764,1726.1906,125.86271,3513.6533,16.004347
"5481","LRRC74B",43.271255,4.9999995,56.453445,22.860905,63.275887,19.327415,69.30082,6.2312512
"5482","KCNQ5-AS1",58.675148,5.8086696,75.68404,39.225586,69.1233,30.264982,93.128296,14.79144
"5483","LINC00261",60.44314,5.145501,60.718296,39.30983,371.88544,24.355768,73.492195,6.814942
"5484","MRPL50P4",114.49618,5.5746374,179.21056,42.92629,161.6541,15.875412,152.86961,5.821603
"5485","DIS3L2",462.41748,11.65712,771.8749,171.02333,543.58716,86.25141,1285.2533,4.9999995
"5486","HAUS1P1",11620.757,136.51883,6849.03,1513.9313,9111.097,706.1458,4699.482,66.94882
"5487","PRDX5P1",381.56036,147.38452,487.75656,854.30615,1652.7522,435.52252,283.39517,47.604897
"5488","CYP51A1-AS1",66.27468,4.9999995,51.945297,24.838797,72.6348,18.126457,80.52554,4.9999995
"5489","ASH2LP4",46.52683,8.232951,35.71252,30.999111,49.372314,21.12007,22.657951,4.9999995
"5490","ZNF230-DT",148.08932,10.24061,136.89725,97.1847,720.4007,57.708286,148.20851,4.9999995
"5491","PITPNM2-AS1",146.81606,4.9999995,97.956184,33.84685,136.41841,22.195036,160.75679,9.344014
"5492","SND1",15050.526,542.1023,13484.551,3783.3323,9953.4375,5355.861,51405.406,619.97894
"5493","MIR4458HG",98.42576,18.421097,132.6642,73.14518,243.086,61.53798,118.223976,17.899668
"5494","UBE3AP2",103.75642,4.9999995,198.31381,44.1173,211.57266,42.50965,388.66147,17.138702
"5495","LRRC27",6353.8413,261.91333,5591.7285,1758.8752,5319.7188,1354.8777,7148.968,138.29788
"5496","TRIM60P14",514.3267,14.139118,1867.9559,552.0532,785.14465,308.16782,1981.2054,31.310198
"5497","NUP210P2",89.63445,9.869325,155.487,31.671276,198.92413,28.907284,236.55762,15.840098
"5498","FTH1P25",35.087784,4.9999995,13.521619,24.231232,142.18013,18.17039,23.361353,4.9999995
"5499","GIMAP3P",147.02841,13.045871,117.52349,66.86017,110.94528,38.78002,242.35107,14.363089
"5500","LINC01891",372.61774,57.41403,551.7573,254.44684,385.8915,151.03749,899.8784,127.881386
"5501","MACROD2",23605.422,386.44086,21006.193,4448.6123,42496.832,1850.2789,28835.71,1088.3442
"5502","GM2AP2",76.805786,5.1893363,88.03023,50.367336,83.059425,22.812296,100.85341,12.924419
"5503","EFHB",71.950485,4.9999995,50.939217,18.760118,115.579384,7.724821,57.294373,4.9999995
"5504","RPL34-DT",435.475,235.85132,528.08075,281.07837,560.4588,280.429,397.6168,215.38441
"5505","HNRNPA1P24",42.43595,4.9999995,66.74028,49.89581,109.79869,26.910366,70.61622,10.944529
"5506","CTBP2P6",43.966362,14.07677,49.29473,321.67334,2282.872,129.28554,25.242678,4.9999995
"5507","RPL13P4",47.04165,5.381003,59.29771,28.649326,59.414597,25.868,99.61989,7.6899633
"5508","FTLP10",28.755367,4.9999995,42.236847,41.294495,635.0499,22.18023,31.315083,4.9999995
"5509","SYS1",667.4994,67.630974,649.8271,585.99445,1221.2539,274.531,924.80133,45.33881
"5510","PARLP2",116.0481,5.4651084,113.02652,84.26082,231.64429,51.648354,122.12879,7.7400594
"5511","PDCD4-AS1",90.97313,6.4935646,149.91602,93.3883,294.87476,56.501923,66.0332,8.004399
"5512","KRABD1-AS1",50.903587,5.225647,50.725807,32.640316,89.69672,23.568863,94.58929,4.9999995
"5513","NEURL1B",198.70316,33.9899,164.7798,89.32947,188.45427,82.12227,226.218,37.3374
"5514","BET1",1355.9125,19.2556,1146.6307,168.63206,1122.4332,119.869606,3287.0728,16.181581
"5515","KBTBD4",54.58938,4.9999995,94.58172,52.492706,1283.713,40.4339,56.014385,4.9999995
"5516","MEG8",39.52294,4.9999995,25.482187,21.476257,52.542297,13.20013,44.49795,4.9999995
"5517","MTCO3P1",5647.259,520.64343,3909.0876,1111.0582,61633.273,1693.5466,23488.34,219.01924
