ProbeName,[149PE+](raw),[149PE-](raw),[225PE+](raw),[225PE-](raw),[320PE+](raw),[320PE-](raw),[Control_1](raw),[Control_2](raw),GeneSymbol
ASHG19A3A038717,2948.88,139.90526,4779.8535,2330.6794,5155.3643,914.8001,3600.118,1063.5663,AK311167
ASHG19A3A050015,40.37363,5.0762544,34.820988,119.116684,60.663013,12.792159,57.218693,4.9999995,
ASHG19A3L0001198,238.75653,18.55443,203.46964,145.72232,263.90848,56.16995,892.4728,31.059969,lincRNA-CCDC85A-1
ASHG19A3A049356,28.197136,4.9999995,24.319386,27.589064,44.184673,14.451361,42.919804,4.9999995,
ASHG19A3A023294,29.077536,4.9999995,24.193172,27.97301,48.883743,13.528928,50.047348,4.9999995,
ASHG19A3A023294,29.077536,4.9999995,24.193172,27.97301,48.883743,13.528928,50.047348,4.9999995,
ASHG19A3A036163,103.23302,15.662448,66.84375,31.916323,97.30269,36.42699,112.89891,81.987724,
ASHG19A3A014029,6625.7524,34.415035,85.88555,117.867676,118.5471,288.69757,1191.9568,29.370289,AC009238.6
ASHG19A3A014495,1040.0287,19.791323,1534.4163,718.11755,1386.3792,396.17328,3784.4104,12.401159,AC009969.1
ASHG19A3A047168,73.88478,18.0282,49.824963,26.267736,90.70157,29.924505,74.159996,7.357987,
ASHG19A3A044772,1077.1809,6.907684,90.23183,14.73057,138.25122,33.993282,228.23563,4.9999995,
ASHG19A3A044772,1077.1809,6.907684,90.23183,14.73057,138.25122,33.993282,228.23563,4.9999995,
ASHG19A3A044214,951.4027,275.25278,817.77167,491.0103,944.37305,521.60345,1213.06,175.77248,LOC100130557
ASHG19A3A044214,951.4027,275.25278,817.77167,491.0103,944.37305,521.60345,1213.06,175.77248,LOC100130557
ASHG19A3A044214,951.4027,275.25278,817.77167,491.0103,944.37305,521.60345,1213.06,175.77248,LOC100130557
ASHG19A3A044214,951.4027,275.25278,817.77167,491.0103,944.37305,521.60345,1213.06,175.77248,LOC100130557
ASHG19A3A044214,951.4027,275.25278,817.77167,491.0103,944.37305,521.60345,1213.06,175.77248,LOC100130557
ASHG19A3L0001302,560.8446,33.23865,506.33713,192.52385,1334.271,209.13345,3218.7327,129.1759,lincRNA-IFT57
ASHG19A3A000399,15465.074,1978.4453,12570.513,6018.595,13336.378,6736.155,11347.231,1861.7762,WASH5P
ASHG19A3A037010,104.31739,15.216909,66.96553,46.48915,203.40596,43.801243,140.7671,11.52197,KIAA1875
CUST_369_PI426073487,100.29432,8.091384,48.889656,28.860065,119.868416,20.46908,99.51277,9.917145,uc.371
CUST_369_PI426073487,100.29432,8.091384,48.889656,28.860065,119.868416,20.46908,99.51277,9.917145,uc.371
ASHG19A3A016945,64.178314,16.728687,74.87865,95.03153,195.65128,33.43626,100.80089,47.1686,AX747067
ASHG19A3A044133,93.11448,4.9999995,35.219532,41.505272,70.25055,16.194588,78.00065,8.529976,AC010997.2
